_id,acceleration,body_color,body_status,body_type,brand,engine,fuel_consumption,fuel_type,inside_color,mileage,model,price,url,volume,year
62c020245ac6166d04f27483,9.7,سفید,گلگیر تعویض,passenger_car,mg,4 سیلندر توربوشارژ ,6.9,بنزینی,مشکی,98000,360,450000000,https://bama.ir/car/detail-yef9zxzr-mg-360-atturbo-1397,1.5,2018
62c020245ac6166d04f27484,11.1,سفید,یک لکه رنگ,crossover,kia,4 سیلندر GDI ,8.8,بنزینی,مشکی,111000,sorento,2050000000,https://bama.ir/car/detail-ob1tf9i3-kia-sorento-basic-2015,2.4,2015
62c020245ac6166d04f27485,9.2,سفید,بدون رنگ,crossover,lexus,4 سیلندر با موتور الکتریکی ,5.1,هیبریدی,سفید صدفی,18000,nxhybrid,4300000000,https://bama.ir/car/detail-2xy9brk9-lexus-nxhybrid-300hfsport-2017,2.5,2017
62c020245ac6166d04f27486,11.6,سفید صدفی,یک لکه رنگ,None,peugeot,4 سیلندر TU5 ,6.6,بنزینی,مشکی,70000,207,350000000,https://bama.ir/car/detail-xx8wmki9-peugeot-207-mt-1399,1.6,2020
62c020245ac6166d04f27487,11.3,نوک مدادی,گلگیر تعویض,None,kia,4 سیلندر ,7,بنزینی,طوسی,230000,rioir,189000000,https://bama.ir/car/detail-dxwsqo-kia-rioir-mt-1387,1.5,2008
62c020245ac6166d04f27488,10.5,سفید,بدون رنگ,None,kia,4 سیلندر ,7.9,بنزینی,مشکی,140000,ceratoir,799000000,https://bama.ir/car/detail-9r7noa3y-kia-ceratoir-2000optional-1396,2,2017
62c020245ac6166d04f27489,6.5,سفید,بدون رنگ,crossover,bmw,4 سیلندر توربوشارژ ,6.6,بنزینی,مارون,83000,x1,2200000000,https://bama.ir/car/detail-3jx4ca3j-bmw-x1-28-2014,2,2014
62c020245ac6166d04f2748a,7.1,مشکی,بدون رنگ,hatchback,bmw,4 سیلندر توربوشارژ ,6.1,بنزینی,مشکی,22000,1series,2250000000,https://bama.ir/car/detail-yry13exm-bmw-1series-120i-2018,2,2018
62c020245ac6166d04f2748b,11,سفید,بدون رنگ,passenger_car,peugeot,4 سیلندر XU7 ,9.1,بنزینی,کرم,58000,pars,270000000,https://bama.ir/car/detail-9u1qyjoe-peugeot-pars-mt-1397,1.8,2018
62c020245ac6166d04f2748c,11.9,سفید,بدون رنگ,crossover,fidelity,4 سیلندر توربوشارژ (4T15C) ,8.1,بنزینی,مشکی,0,prime,800000000,https://bama.ir/car/detail-kge1dr56-fidelity-prime-5seater-1401,1.5,2022
62c020245ac6166d04f2748d,11.6,خاکستری,چند لکه رنگ,hatchback,peugeot,4 سیلندر TU5 ,6.6,بنزینی,مشکی,71000,207,339000000,https://bama.ir/car/detail-m7svjt69-peugeot-207-mt-1399,1.6,2020
62c020245ac6166d04f2748e,11.4,سفید,بدون رنگ,passenger_car,peugeot,4 سیلندر TU5 ,6.6,بنزینی,مشکی,150000,206sd,265000000,https://bama.ir/car/detail-8es46bsc-peugeot-206sd-v8-1396,1.6,2017
62c020255ac6166d04f2748f,14.1,سفید,بدون رنگ,hatchback,peugeot,4 سیلندر TU3 ,6.4,بنزینی,مشکی,100000,206ir,235000000,https://bama.ir/car/detail-8sm34ygr-peugeot-206ir-type2-1395,1.4,2016
62c020255ac6166d04f27490,null,سفید,چند لکه رنگ,passenger_car,mercedesbenz,None,null,بنزینی,مشکی,257000,eclass,680000000,https://bama.ir/car/detail-jsqnks5-mercedesbenz-eclass-e240-2003,null,2003
62c020255ac6166d04f27491,6.5,سفید صدفی,بدون رنگ,crossover,bmw,4 سیلندر توربوشارژ ,7.3,بنزینی,موکا,57000,x3,3820000000,https://bama.ir/car/detail-68ggyyxr-bmw-x3-28-2016,2,2016
62c020255ac6166d04f27492,13.5,سفید,بدون رنگ,passenger_car,dena,4 سیلندر EF7 ,7.7,بنزینی,کرم,50000,1.7,335000000,https://bama.ir/car/detail-vmdnikxb-dena-1.7-1398,1.7,2019
62c020255ac6166d04f27493,7.8,مشکی,بدون رنگ,passenger_car,mercedesbenz,4 سیلندر توربوشارژ ,6.9,بنزینی,مشکی,87000,cclass,2850000000,https://bama.ir/car/detail-4kdfwts-mercedesbenz-cclass-c200-2014,1.8,2014
62c020255ac6166d04f27494,13,سرمه ای,بدون رنگ,passenger_car,tara,4 سیلندر TU5 پلاس ,7.3,بنزینی,مشکی,0,automatic,585000000,https://bama.ir/car/detail-sbwhi8nc-tara-automatic-1400,1.6,2021
62c020255ac6166d04f27495,12.6,سفید,بدون رنگ,hatchback,peugeot,4 سیلندر TU5 ,7.1,بنزینی,مشکی,63000,207,428000000,https://bama.ir/car/detail-777ejnkq-peugeot-207-at-1397,1.6,2018
